split,disease,positive_count,sample_count,prevalence
train,Atelectasis,73,750,0.09733333438634872
train,Cardiomegaly,20,750,0.02666666731238365
train,Effusion,63,750,0.08399999886751175
train,Infiltration,100,750,0.13333334028720856
train,Mass,12,750,0.01600000075995922
train,Nodule,28,750,0.03733333200216293
train,Pneumonia,9,750,0.012000000104308128
train,Pneumothorax,12,750,0.01600000075995922
train,Consolidation,19,750,0.025333333760499954
train,Edema,9,750,0.012000000104308128
train,Emphysema,18,750,0.024000000208616257
train,Fibrosis,33,750,0.04399999976158142
train,Pleural_Thickening,22,750,0.029333332553505898
train,Hernia,2,750,0.0026666666381061077
validation,Atelectasis,12,150,0.07999999821186066
validation,Cardiomegaly,3,150,0.019999999552965164
validation,Effusion,14,150,0.09333333373069763
validation,Infiltration,26,150,0.1733333319425583
validation,Mass,5,150,0.03333333507180214
validation,Nodule,3,150,0.019999999552965164
validation,Pneumonia,0,150,0.0
validation,Pneumothorax,2,150,0.013333333656191826
validation,Consolidation,2,150,0.013333333656191826
validation,Edema,3,150,0.019999999552965164
validation,Emphysema,4,150,0.02666666731238365
validation,Fibrosis,4,150,0.02666666731238365
validation,Pleural_Thickening,5,150,0.03333333507180214
validation,Hernia,0,150,0.0
test,Atelectasis,22,150,0.14666666090488434
test,Cardiomegaly,20,150,0.13333334028720856
test,Effusion,25,150,0.1666666716337204
test,Infiltration,30,150,0.20000000298023224
test,Mass,5,150,0.03333333507180214
test,Nodule,4,150,0.02666666731238365
test,Pneumonia,3,150,0.019999999552965164
test,Pneumothorax,22,150,0.14666666090488434
test,Consolidation,2,150,0.013333333656191826
test,Edema,8,150,0.0533333346247673
test,Emphysema,5,150,0.03333333507180214
test,Fibrosis,10,150,0.06666667014360428
test,Pleural_Thickening,6,150,0.03999999910593033
test,Hernia,0,150,0.0
