split,disease,positive_count,sample_count,prevalence
train,Atelectasis,50,500,0.10000000149011612
train,Cardiomegaly,17,500,0.03400000184774399
train,Effusion,48,500,0.09600000083446503
train,Infiltration,71,500,0.1420000046491623
train,Mass,9,500,0.017999999225139618
train,Nodule,23,500,0.04600000008940697
train,Pneumonia,4,500,0.00800000037997961
train,Pneumothorax,9,500,0.017999999225139618
train,Consolidation,14,500,0.02800000086426735
train,Edema,6,500,0.012000000104308128
train,Emphysema,13,500,0.026000000536441803
train,Fibrosis,21,500,0.041999999433755875
train,Pleural_Thickening,15,500,0.029999999329447746
train,Hernia,2,500,0.004000000189989805
validation,Atelectasis,8,100,0.07999999821186066
validation,Cardiomegaly,1,100,0.009999999776482582
validation,Effusion,11,100,0.10999999940395355
validation,Infiltration,16,100,0.1599999964237213
validation,Mass,3,100,0.029999999329447746
validation,Nodule,2,100,0.019999999552965164
validation,Pneumonia,0,100,0.0
validation,Pneumothorax,1,100,0.009999999776482582
validation,Consolidation,0,100,0.0
validation,Edema,2,100,0.019999999552965164
validation,Emphysema,4,100,0.03999999910593033
validation,Fibrosis,2,100,0.019999999552965164
validation,Pleural_Thickening,5,100,0.05000000074505806
validation,Hernia,0,100,0.0
test,Atelectasis,15,100,0.15000000596046448
test,Cardiomegaly,13,100,0.12999999523162842
test,Effusion,17,100,0.17000000178813934
test,Infiltration,21,100,0.20999999344348907
test,Mass,2,100,0.019999999552965164
test,Nodule,2,100,0.019999999552965164
test,Pneumonia,2,100,0.019999999552965164
test,Pneumothorax,17,100,0.17000000178813934
test,Consolidation,0,100,0.0
test,Edema,4,100,0.03999999910593033
test,Emphysema,3,100,0.029999999329447746
test,Fibrosis,7,100,0.07000000029802322
test,Pleural_Thickening,4,100,0.03999999910593033
test,Hernia,0,100,0.0
